word,freq
light,1581
  object,879
  sky,736
  wa,581
  bright,539
  move,510
  shape,500
  white,389
  red,334
  orang,323
  saw,284
  seen,268
  craft,262
  fli,252
  veri,252
  ufo,249
  hover,245
  like,230
  star,224
  larg,207
  night,186
  green,181
  quot,180
  sight,174
  flash,168
  north,167
  two,166
  blue,162
  one,161
  triangl,160
  look,157
  color,150
  abov,144
  appear,142
  fast,132
  high,132
  south,131
  disappear,129
  low,128
  speed,127
  ball,126
  travel,126
  format,125
  sound,125
  glow,120
  sphere,120
  three,120
  west,117
  across,115
  firebal,115
  pd,115
  silent,105
  east,104
  nuforc,103
  around,102
  note,102
  triangular,100
  chang,99
  orb,99
  near,97
  slowli,95
  slow,94
  thi,94
  black,93
  observ,90
  strang,88
  circl,86
  minut,86
  oval,84
  time,82
  clear,79
  silver,79
  round,78
  drive,75
  cloud,73
  stop,72
  wit,71
  notic,70
  back,69
  report,69
  saucer,69
  close,68
  second,68
  area,67
  follow,67
  side,67
  pm,65
  go,64
  line,64
  home,63
  possibl,63
  away,62
  disk,62
  hous,62
  went,62
  yellow,62
  aircraft,61
  friend,61
  small,61
  turn,61
  circular,60
  spot,60
  huge,59
  metal,59
  head,58
  direct,57
  toward,57
  tree,57
  car,56
  octob,56
  altitud,55
  fall,55
  flew,55
  stationari,55
  ground,54
  dark,53
  moon,53
  foot,52
  hour,52
  outsid,51
  sever,51
  straight,51
  see,50
  streak,50
  come,49
  day,49
  plane,49
  size,49
  blink,48
  befor,47
  lake,47
  mile,47
  shoot,47
  vanish,46
  horizon,44
  make,44
  nois,44
  overhead,44
  cigar,43
  float,43
  jet,43
  oct,43
  park,43
  behind,42
  ca,41
  point,40
  differ,39
  made,39
  pas,39
  seem,39
  air,38
  even,38
  four,38
  trail,38
  left,37
  way,37
  degre,36
  tail,36
  watch,36
  amp,35
  dim,35
  ft,35
  view,35
  window,35
  anoth,34
  extrem,34
  min,34
  morn,34
  right,34
  year,34
  big,33
  first,33
  rate,33
  sit,33
  thought,33
  took,33
  daylight,32
  fade,32
  top,32
  beach,31
  citi,31
  fire,31
  form,31
  mountain,31
  new,31
  pattern,31
  someth,31
  came,30
  chevron,30
  meteor,30
  quickli,30
  work,30
  front,29
  group,29
  smaller,29
  texa,29
  walk,29
  approx,28
  counti,28
  diamond,28
  rotat,28
  thing,28
  approxim,27
  disc,27
  field,27
  full,27
  long,27
  multipl,27
  last,26
  movement,26
  road,26
  san,26
  space,26
  st,26
  town,26
  yard,26
  amber,25
  still,25
  th,25
  twinkl,25
  valley,25
  wife,25
  almost,24
  could,24
  cylind,24
  dure,24
  eastern,24
  lit,24
  onli,24
  suddenli,24
  complet,23
  pulsat,23
  river,23
  singl,23
  southern,23
  unknown,23
  unusu,23
  would,23
  airplan,22
  angl,22
  beam,22
  center,22
  cross,22
  directli,22
  earli,22
  five,22
  land,22
  mani,22
  northern,22
  old,22
  tx,22
  chase,21
  lite,21
  mid,21
  odd,21
  southwest,21
  spheric,21
  start,21
  sun,21
  togeth,21
  visibl,21
  airport,20
  brilliant,20
  california,20
  drop,20
  emit,20
  reflect,20
  shini,20
  six,20
  ani,19
  boomerang,19
  distanc,19
  dot,19
  end,19
  eye,19
  face,19
  heard,19
  highway,19
  intens,19
  la,19
  leav,19
  rocket,19
  shot,19
  type,19
  bottom,18
  cluster,18
  flame,18
  later,18
  pictur,18
  sec,18
  take,18
  western,18
  anyth,17
  az,17
  caught,17
  contrail,17
  corner,17
  fl,17
  flicker,17
  florida,17
  footbal,17
  get,17
  illumin,17
  launch,17
  never,17
  ny,17
  ocean,17
  peopl,17
  phoenix,17
  rectangular,17
  stand,17
  state,17
  zig,17
  along,16
  amaz,16
  dissapear,16
  dog,16
  errat,16
  everi,16
  famili,16
  got,16
  half,16
  happen,16
  helicopt,16
  incred,16
  larger,16
  live,16
  multi,16
  pa,16
  split,16
  sunset,16
  sw,16
  within,16
  york,16
  believ,15
  danc,15
  encount,15
  far,15
  northwest,15
