Year,Date,Time,Country,Area,Location,Activity,Type,Sex ,Age,Injury,Fatal (Y/N),Species ,Case Number,original order,N_Attacks,
2016,14-Jun-16,17h30,USA,Texas,"Pirates Beach, Galveston",Floating in tube,Unprovoked,F,6,Injury to lower leg,N,3' to 4' shark,2016.06.14,5945,1,
2016,24-Jan-16,09h30 / 10h00,USA,Texas,Off Surfside,Spearfishing,Unprovoked,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2,2016.01.24.b,5896,1,
2016,05-Sep-16,Late afternoon,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,Unprovoked,F,12,Lacerations & punctures to lower right leg,N,,2016.09.05.b,5984,1,
2016,15-Jul-16,,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,Unprovoked,M,,Puncture wounds to foot,N,,2016.07.15,5961,1,
2016,27-Jun-16,16h20,USA,South Carolina,Sullivan's Island,,Unprovoked,M,35,Minor injury,N,3' to 4' shark,2016.06.27,5953,1,
2016,21-Jun-16,15h25,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,Unprovoked,M,42,Lacerations and punctures to foot,N,3' to 5' shark,2016.06.21.b,5949,1,
2016,07-Jun-16,11h30,USA,South Carolina,"Folly Beach, Charleston County",Surfing,Invalid,M,27,"No injury, board damaged",N,Said to involve an 8' shark but more likely damage caused by debris,2016.06.07,5943,1,
2016,25-Jun-16,14h34,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,Unprovoked,M,11,Foot injured,N,,2016.06.25,5952,1,
2016,11-Jun-16,15h00,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,Unprovoked,M,19,Laceration to wrist,N,3' shark,2016.06.11,5944,1,
2016,07-Jul-16,10h00,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,Provoked,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,dogfish shark,2016.07.07.b,5957,1,
2016,07-Sep-16,14h30,USA,Hawaii,"Makaha, Oahu",Swimming,Unprovoked,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10?",2016.09.07,5986,1,
2016,06-Aug-16,,USA,Hawaii,Maui,SUP Foil boarding,Unprovoked,M,21,"No inury, shark & board collided",N,"Tiger shark, 10' ",2016.08.06,5975,1,
2016,15-Jun-16,06h00,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,Unprovoked,M,,Single puncture wound to arm,N,3' to 4' shark,2016.06.15.b,5947,1,
2016,03-May-16,15h49,USA,Hawaii,"Wailea Beach, Maui",Floating,Unprovoked,M,59,Minor lacerations to right shoulder,N,,2016.05.03,5929,1,
2016,31-Mar-16,11h00,USA,Hawaii,"Olowalu, Maui",Snorkeling,Unprovoked,F,46,Minor injury to left foot,N,,2016.03.31,5917,1,
2016,28-Jan-16,14h00,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,Unprovoked,M,,Lacerations to both hands,N,"Reef shark, 5'",2016.01.28,5898,1,
2016,25-Jan-16,11h30,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,Unprovoked,F,15,No injury,N,,2016.01.25,5897,1,
2016,23-Jan-16,Morning,USA,Hawaii,"Wailea Beach, Maui",Paddle boarding,Unprovoked,M,48,No injury,N,"Tiger shark, 14'",2016.01.23,5894,1,
2016,18-Sep-16,13h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,16,Minor injury to thigh,N,,2016.09.18.c,5993,1,
2016,18-Sep-16,11h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,36,Lacerations to hands,N,,2016.09.18.b,5992,1,
2016,18-Sep-16,10h43,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,43,Lacerations to lower leg,N,,2016.09.18.a,5991,1,
2016,11-Sep-16,15h15,USA,Florida,"Ponte Vedra, St. Johns County",Wading,Unprovoked,M,60s,Minor injury to arm,N,3' to 4' shark,2016.09.11,5987,1,
2016,04-Sep-16,,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,Unprovoked,M,9,Foot bitten,N,,2016.09.04,5982,1,
2016,29-Aug-16,15h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,25,Lacerations to right foot,N,"Bull shark, 6'",2016.08.29.b,5980,1,
2016,29-Aug-16,14h00,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,37,Minor injury to ankle,N,,2016.08.29.a,5979,1,
2016,25-Aug-16,16h00,USA,Florida,"Ponte Vedra, St. Johns County",Wading,Unprovoked,M,49,Minor injury to ankle,N,,2016.08.25,5977,1,
2016,04-Aug-16,,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,22,Big toe bitten,N,Blacktip shark,2016.08.04,5974,1,
2016,27-Jul-16,,USA,Florida,"Florida Keys, Monroe County",Lobstering,Provoked,M,43,Laceration to left forearm PROVOKED INCIDENT,N,"Nurse shark, 4'",2016.07.27,5970,1,
2016,16-Jul-16,1300,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,F,9,Minor injury to leg,N,,2016.07.16.b,5963,1,
2016,16-Jul-16,11h00,USA,Florida,"New Smyrna Beach, Volusia County",,Unprovoked,F,11,Minor injury to toes,N,,2016.07.16.a,5962,1,
2016,06-Jul-16,14h30 / 15h30,USA,Florida,"Melbourne Beach, Brevard County",Swimming,Unprovoked,F,42,"Buttocks, thigh, left hand & wrist injured",N,,2016.07.06,5955,1,
2016,21-Jun-16,14h55,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,Unprovoked,M,,Injuries to right calf,N,,2016.06.21.a,5948,1,
2016,05-Jun-16,08h30,USA,Florida,"Flagler Beach, Flagler County",Swimming,Unprovoked,M,64,Leg bitten,N,,2016.06.05.b,5942,1,
2016,29-May-16,15h45,USA,Florida,"Neptune, Duval County",Swimming,Unprovoked,M,13,Injury to posterior right leg,N,5' shark,2016.05.29.a,5935,1,
2016,22-May-16,12h00,USA,Florida,"Vero Beach, Indian River County",Swimming,Unprovoked,F,57,Puncture wounds to thigh,N,,2016.05.22,5934,1,
2016,21-May-16,18h00,USA,Florida,"St. Petersburg, Pinellas County",Swimming,Unprovoked,F,22,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'",2016.05.21.b,5933,1,
2016,21-May-16,17h46,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,Unprovoked,F,11,"Back, arm & hand injured",N,,2016.05.21.a,5932,1,
2016,18-May-16,Morning ,USA,Florida,"Ponte Vedra, St. Johns County",Swimming,Unprovoked,M,48,Ankle bitten,N,"Blacktip shark, 4'",2016.05.18,5931,1,
2016,15-May-16,13h20,USA,Florida,"Boca Raton, Palm Beach County",Teasing a shark,Provoked,F,23,Arm grabbed PROVOKED INCIDENT,N,"Nurse shark, 2'",2016.05.15,5930,1,
2016,23-Apr-16,17h30,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,M,15,Minor injury to left foot,N,,2016.04.23,5926,1,
2016,13-Apr-16,,USA,Florida,"Off Singer Island, Palm Beach County",Spearfishing,Unprovoked,M,26,Multiple bites to right arm,N,"Bull shark, 7'",2016.04.13,5922,1,
2016,07-Apr-16,,USA,Florida,"Florida Keys, Monroe County",Fishing,Unprovoked,M,34,Left hand bitten,N,5' to 6' shark,2016.04.07.b,5919,1,
2016,07-Apr-16,,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,Invalid,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,,2016.04.07.a,5918,1,
2016,28-Mar-16,,USA,Florida,"Fort Myers Beach, Lee County",,Unprovoked,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,N,Shark involvement not confirmed,2016.03.28.b,5915,1,
2016,11-Mar-16,13h30,USA,Florida,"Vero Beach, St. Lucie County",Body surfing,Unprovoked,M,19,Lacerations to right foot and ankle,N,,2016.03.11,5911,1,
2016,04-Mar-16,Afternoon,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",,Unprovoked,M,12,Superficial injury to foot,N,,2016.03.04,5909,1,
2016,01-Sep-16,,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,Unprovoked,M,22,Two toes broken & lacerated,N,White shark,2016.09.01,5981,1,
2016,08-Jul-16,,USA,California,"Capitola, Santa Cruz County",Fishing for squid,Boat,M,,"No injury. Hull bitten, tooth fragment recovered",N,White shark,2016.07.08,5958,1,
