,Author,Title,Lyrics
0,Weezer, “Africa”,"Africa par Weezer\nI hear the drums echoing tonight\n\n\nBut she hears only whispers of some quiet conversation\n\n\nShe's coming in, 12:30 flight\n\n\nThe moonlit wings reflect the stars that guide me towards salvation\n\n\nI stopped an old man along the way\n\n\nHoping to find some old forgotten words or ancient melodies\n\n\nHe turned to me as if to say\n\n\n\""Hurry boy, it's waiting there for you\""\n\n\n\n\n\nIt's gonna take a lot to drag me away from you\n\n\nThere's nothing that a hundred men or more could ever do\n\n\nI bless the rains down in Africa\n\n\n\n\n\n\nGonna take some time to do the things we never have\n\n\n\n\n\nThe wild dogs cry out in the night\n\n\nAs they grow restless longing for some solitary company\n\n\nI know that I must do what's right\n\n\nAs sure as Kilimanjaro rises like Olympus above the Serengeti\n\n\nI seek to cure what's deep inside\n\n\nFrightened of this thing that I've become\n\n\n\n\n\nIt's gonna take a lot to drag me away from you\n\n\nThere's nothing that a hundred men or more could ever do\n\n\nI bless the rains down in Africa\n\n\nGonna take some time to do the things we never have\n\n\n\n\n\n\n\n\n\nHurry boy, she's waiting there for you\n\n\n\n\n\nIt's gonna take a lot to drag me away from you\n\n\nThere's nothing that a hundred men or more could ever do\n\n\nI bless the rains down in Africa\n\n\nI bless the rains down in Africa (I bless the rains)\n\n\nI bless the rains down in Africa (I bless the rains)\n\n\nI bless the rains down in Africa\n\n\nI bless the rains down in Africa\n\n\nGonna take some time to do the things we never have"
1,Arctic Monkeys, “Four Out of Five”,"Four Out of Five par Arctic Monkeys\nAdvertise in imaginative ways\n\n\nStart your free trial today\n\n\nCome on in, the waters lovely\n\n\nLook you could meet someone you like during the meteor strike\n\n\nIt is that easy\n\n\nLunar surface on a Saturday day night\n\n\nDressed up in silver and white with\n\n\nColoured old grey whistle test lights\n\n\n\n\n\nTake it easy for a little while\n\n\nCome and stay with us\n\n\nIt’s such an easy flight\n\n\nCute new places keep on popping up\n\n\nSince the exodus it’s all getting gentrified\n\n\nI put a taqueria on the roof\n\n\n\n\n\n\nIt was well reviewed\n\n\nFour stars out of five\n\n\nAnd that’s unheard of\n\n\n\n\n\nBridge and tunnel on the starlight express\n\n\nThe head of special effects in my mind’s eye\n\n\nHokey cokey with the opposite sex\n\n\nThe things you try to forget\n\n\nDoesn’t time fly?\n\n\nI’m in no position to give advice\n\n\nI don’t want to be nice\n\n\nAnd you know that\n\n\n\n\n\nTake it easy for a little while\n\n\nCome and stay with us\n\n\nIt’s such an easy flight\n\n\nCute new places keep popping up around Clavius\n\n\nIt’s all getting gentrified\n\n\n\n\n\n\nThe information action ratio is the place to go\n\n\nAnd you will not recognise the old headquarters\n\n\n\n\n\nAll the nights that never happened and the days that don't exist\n\n\nAt the information action ratio\n\n\nThe only time that we stop laughing is to breathe or steal a kiss\n\n\nI can get you on the list for all the clubs\n\n\nI can lift you up another semitone\n\n\n\n\n\nTake it easy for a little while\n\n\n(Take it easy for a little while)\n\n\nCome and stay with us\n\n\nIt’s such an easy flight\n\n\nCute new places keep on popping up\n\n\n(Cute new places keep on popping up)\n\n\nSince the exodus, it’s all getting gentrified\n\n\n\n\n\n\nThe information action ratio\n\n\n(The information action ratio) is the place to go\n\n\nFour stars out of five\n\n\n\n\n\nTake it easy for a little while\n\n\n(Take it easy for a little while)\n\n\nCome and stay with us\n\n\nNow, it’s such an easy flight\n\n\nCute new places keep on popping up\n\n\n(Cute new places keep on popping up)\n\n\nAround Clavius, it’s all getting gentrified\n\n\nI put a taqueria on the moon\n\n\n(The information action ratio)\n\n\nIt got rave reviews\n\n\nFour stars out of five\n\n\n\n\n\nTake it easy for a little while\n\n\n(Take it easy for a little while)\n\n\n\n\n\n\nCome and stay with us\n\n\nFour stars out of five\n\n\nTake it easy for a little while\n\n\n(Take it easy for a little while)\n\n\nCome and stay with us\n\n\nFour stars out of five\n\n\nTake it easy for a little while\n\n\n(Take it easy for a little while)\n\n\nCome and stay with us\n\n\nFour stars out of five\n\n\n(Take it easy for a little while)\n\n\nFour stars out of five"
2,Teyana Taylor, “Gonna Love Me”,"Gonna Love Me par Teyana Taylor\n[Randy Cain]\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me and squeeze me\n\n\n\n\n\nSometimes we say things that we really don't mean\n\n\nWe do things in between the lines\n\n\nWe should do more than stand out\n\n\nI'm sorry if I made you feel less than who you are\n\n\nA little insecure, oh, you's a shining star\n\n\n\n\n\nI wanna spend my nights with you\n\n\nMy life with you, oh baby, babe\n\n\nPlease wait up for me till whenever I get home\n\n\nI know that you're all alone\n\n\nThinking 'bout what you're gon' do\n\n\n\n\n\n\nI hope that you see it through, ooh, ooh\n\n\n\n\n\n[Randy Cain]\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me and squeeze me\n\n\n\n\n\nSometimes I don't think we really say enough\n\n\nWhy is it so hard to keep in touch\n\n\nWhen we're laying right next to each other, baby\n\n\nWe shouldn't read into things so much\n\n\nOverthinking understanding\n\n\nDon't let our feeling, change it up\n\n\n\n\n\nI wanna spend my nights with you\n\n\nMy life with you, oh baby, babe\n\n\nPlease wait up for me till whenever I get home\n\n\nI know that I'm all alone\n\n\nThinking 'bout what I'm gon' do\n\n\n\n\n\n\nI hope that I see it through, ooh, ooh, yeah\n\n\n\n\n\n[Randy Cain]\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me and squeeze me\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me and squeeze me\n\n\n\n\n\n[ Teyana Taylor & Randy Cain]\n\n\nAnd are you gonna love me? yeah\n\n\nAnd are you gonna hold me? And squeeze me\n\n\nAre you gonna love? And squeeze me\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me\n\n\nAre you gonna hold me\n\n\nAnd squeeze me, squeeze me\n\n\nAnd oh, you're gonna love me\n\n\nYou're gonna wanna hug me\n\n\n\n\n\n\nYou're gonna wanna hold me\n\n\nAnd squeeze me, and squeeze me"
3,The Beths, “Happy Unhappy”,
4,Playboi Carti feat. Nicki Minaj, “Poke It Out”,
5,Willie Nelson, “Bad Breath”,"Bad Breath par Willie Nelson\nDon't ever complain about nothin'\n\n\nBefore we can walk we all gotta crawl\n\n\nHalitosis is a word I never could spell\n\n\nBut bad breath is better than no breath at all\n\n\n\n\n\nIt's okay to say \""Hello\"" to me\n\n\nBut don't get too near if you don't wanna fall\n\n\nAnd don't think you'll love me if my breath melts the wall\n\n\n'Cause bad breath is better than no breath at all\n\n\n\n\n\nI've been a-puffin' on this and a-suckin' on that\n\n\nI got feelin' a thousand feet tall\n\n\nThe closer we get, you'll have to agree\n\n\nThat bad breath is better than no breath at all\n\n\n\n\n\n\n\n\n\nI been talkin' to the man in the mirror\n\n\nAnd he smells his diet is rot-gut alcohol\n\n\nBut it's better I guess that starvin' to death\n\n\nAnd bad breath is better than no breath at all\n\n\n\n\n\nI've been a-puffin' on this and a-suckin' on that\n\n\nI'm feelin' a thousand feet tall\n\n\nThe closer we get, you'll have to agree\n\n\nThat bad breath is better than no breath at all\n\n\nYeah, bad breath is better than no breath at all"
6,Iceage, “Thieves Like Us”,
7,Nicki Minaj, “Barbie Dreams”,"Barbie Dreams par Nicki Minaj\nUh\n\n\nR.I.P. to B.I.G. \n\n\nClassic shit\n\n\n\n\n\nI'm looking for a nigga to give some babies\n\n\nA handful of Weezy, sprinkle of Dave East\n\n\nMan, I ain't got no type, like Jxmmi and Swae Lees\n\n\nBut if he can't fuck three times a night, peace\n\n\nI tried to fuck 50 for a powerful hour\n\n\nBut all that nigga wanna do is talk Power for hours\n\n\nB-beat the pussy up, make sure it's a K-O\n\n\nStep your banks up like you're moving that ya-yo\n\n\nSomebody go and make sure Karrueche okay though\n\n\nI heard she think I'm tryna give the coochie to Quavo\n\n\n\n\n\n\nThey always wanna beat it up, goon up the pussy\n\n\nMan, maybe I should let him autotune up the pussy\n\n\nAll these Bow Wow Challenge niggas lying and shit\n\n\nMan, these Fetty Wap niggas stay eyeing my shit\n\n\nDrake worth a hundred milli, always buying me shit\n\n\nBut I don't know if the pussy wet or if he crying and shit\n\n\nMeek still be in my DMs, I be having to duck him\n\n\n\""I used to pray for times like this.\""\n\n\nFace ass when I fuck him\n\n\nMan, Uzi is my baby, he ain't takin' a L\n\n\nBut he took it literally when I said, \""Go to hell!\""\n\n\nUsed to fuck with Young Thug, I ain't addressin' this shit\n\n\nC-caught him in my dressing room, stealin' dresses and shit\n\n\n\n\n\n\nI used to give this nigga with a lisp testers and shit\n\n\nHow you want the pu-thy? Can't say your S's and shit\n\n\n\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie, B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (Barbie Dreams, B-B-B-Barbie)\n\n\n\n\n\n\n\n\n\nI remember when I used to have a crush on Special Ed\n\n\nShoutout Desiigner, 'cause he made it out of special ed\n\n\nYou wanna fuck me, you gotta give some special head\n\n\n'Cause this pussy had these niggas on some special meds\n\n\nLike Mike Tyson, he was bitin' my shit\n\n\nTalking 'bout, \""Yo, why you got these niggas fighting and shit?\""\n\n\nOn the, on the real, I should make these niggas scrap for the pussy\n\n\nYoung M.A. and Lady Luck, get the strap for this pussy, uh\n\n\nAnd I would've had Odell Beckham banging the cake\n\n\n'Til I saw him hoppin' out of cars dancing to Drake\n\n\n\n\n\n\nI been a five-star bitch, man, word to Gotti\n\n\nI'ma do that nigga Future dirty, word to Scottie\n\n\nHad to cancel DJ Khaled, boy, we ain't speaking\n\n\nAin't no fat nigga telling me what he ain't eating\n\n\nYG and The Game with the hammer yelling, \""Gang, gang!\""\n\n\nThis ain’t what I meant when I said a gang bang\n\n\nTekashi want a ménage, I said \""tre-way\""\n\n\nCurved him and went the Kim and Kanye way\n\n\nEm', cop the Barbie Dreamhouse then you can play the part\n\n\nI ain't tryna bust it open in the trailer park\n\n\n\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\n\n\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (B-B-B-Barbie, B-B-B-Barbie)\n\n\nDreams of fucking with any of these little rappers\n\n\nI'm just playing, but I'm saying (Barbie Dreams, B-B-B-Barbie)\n\n\n\n\n\n[Beat Switch]\n\n\n\n\n\nYou know I'm all about them dollars\n\n\nI be supporting them scholars\n\n\nI let him give me some brain\n\n\nBut he wanted me to ride it\n\n\nSo I said, \""Fuck it, I'm in\""\n\n\nHe want a cut like a trim\n\n\n\n\n\n\nAnd if he act like he know\n\n\nI let him fuck it again\n\n\nI got them bars, I'm indicted\n\n\nI'm popping, I'm uninvited\n\n\nI said, \""Just lick on the clitoris, nigga, don't fucking bite it\""\n\n\nI ride his –, in the circle\n\n\nI turn Stefan into Urkel\n\n\nI go around and around and I'ma go down in slow motion\n\n\nThen I pick it up, look at it\n\n\nI said, \""Daddy, come get at it,\"" uh\n\n\nYellow brick road, he said that I am a wiz at it\n\n\nYeah, they want it, want it\n\n\nYou know I flaunt it, flaunt it\n\n\nI'm a trendsetter\n\n\nEverything I do, they do\n\n\nYeah, put 'em up on it, on it\n\n\n\n\n\n\nDimelo, papi, papi\n\n\nYo quiero sloppy, sloppy\n\n\nI'll give it to you if you beat it up like Baki, Baki\n\n\nI'ma kill 'em with the shoe, no ceiling is in the roof\n\n\nAnd I'm big, give me the loot, twelve cylinders in the Coupe\n\n\nI get down with the chrome, I tell 'em when I'ma shoot\n\n\nI just bang, bang, bang, real killers is in my group\n\n\nGorillas is in my unit, vacationin' where it's humid\n\n\nAnd I shine, shine, shine, got diamonds all in my cubans\n\n\nI'm in LA Times more than when niggas lootin'\n\n\nAnd my flow spit crack, I think that nigga usin'\n\n\n\n\n\n\nHe done bodied everybody, in closing these bitches losin'\n\n\nUsing, using up a bitch movin'\n\n\nNo, I ain't Studdard and no I ain't Ruben\n\n\nDamn, a bitch snoozin'\n\n\nShoutout to my Jews, l'chaim, Rick Rubin\n\n\nBig fat titties, yes, they be protrudin'\n\n\nI be like, fuck 'em, fuck 'em, bring the lube in\n\n\nI be like, fuck 'em, fuck 'em, bring the lube in"
8,King Princess, “1950”,"1950 par King Princess\nI hate it when dudes try to chase me\n\n\nBut I love it when you try to save me\n\n\n'Cause I'm just a lady\n\n\nI love it when we play 1950\n\n\nIt's so cold that your stare's 'bout to kill me\n\n\nI'm surprised when you kiss me\n\n\n\n\n\nSo tell me why my gods look like you\n\n\nAnd tell me why it's wrong\n\n\n\n\n\nSo I'll wait for you, I'll pray\n\n\nI will keep on waiting for your love\n\n\nFor you, I'll wait\n\n\nI will keep on waiting for your\n\n\n\n\n\nDid you mean it when you said I was pretty?\n\n\n\n\n\n\nThat you didn't wanna live in a city\n\n\nWhere the people are shitty?\n\n\nI like it when we play 1950\n\n\nSo bold, make them know that you're with me\n\n\nStone cold, will you miss me?\n\n\n\n\n\nSo tell me why my gods look like you\n\n\nAnd tell me why it's wrong\n\n\n\n\n\nSo I'll wait for you, I'll pray\n\n\nI will keep on waiting for your love\n\n\nFor you, I'll wait\n\n\nI will keep on waiting for your\n\n\n\n\n\nI hope that you're happy with me in your life\n\n\nI hope that you won't slip away in the night\n\n\nI hope that you're happy with me in your life\n\n\nI hope that you won't slip away\n\n\n\n\n\n\nI hate it when dudes try to chase me\n\n\nI love it when you try to save me\n\n\n'Cause I'm just a lady\n\n\n\n\n\nSo tell me why my gods look like you\n\n\nAnd tell me why it's wrong\n\n\n\n\n\nSo I'll wait for you, I'll pray\n\n\nI will keep on waiting for your love\n\n\n(For your love, for your love, for your love)\n\n\nFor you, I'll wait\n\n\nI will keep on waiting for your"
9,Troye Sivan, “Animal”,"Animal par Troye Sivan\nI told you something safe\n\n\nSomething I've never said before\n\n\nAnd I, I, I can't keep my hands off you\n\n\nWhile you lie in the wake\n\n\nCovered all in the night before\n\n\nI'm high, high, high, no one's got me quite like you\n\n\n\n\n\nI want you all to myself\n\n\nDon't leave none for nobody else\n\n\nI am an animal with you\n\n\nNo angels could beckon me back\n\n\nAnd it's hotter than hell where I'm at\n\n\nI am an animal with you\n\n\n\n\n\nAn ode to the boy I love\n\n\n\n\n\n\nBoy, I'll die to care for you\n\n\nYou're mine, mine, mine, tell me who do I owe that to?\n\n\nAnd as the days fly by\n\n\nWe'll be more than getting through, yeah\n\n\nAnd in time, time, time, we'll build a home for two\n\n\n\n\n\nI want you all to myself\n\n\nDon't leave none for nobody else\n\n\nI am an animal with you\n\n\nNo angels could beckon me back\n\n\nAnd it's hotter than hell where I'm at\n\n\nI am an animal with you\n\n\n\n\n\nAll is right in the meadow\n\n\nWhen I'm lying next to my fellow\n\n\nBaby, that's you\n\n\n\n\n\n\nBaby, that's\n\n\nBaby, that's you\n\n\nOne way trip like an arrow\n\n\nAll laid out like a tarot\n\n\nBaby, that's you\n\n\nBaby, that's\n\n\nBaby, that's you, you-you\n\n\n\n\n\nI want you all to myself\n\n\nDon't leave none for nobody else\n\n\nI am an animal with you\n\n\nNo angels could beckon me back\n\n\nAnd it's hotter than hell where I'm at\n\n\nI am an animal with you\n\n\nI am an animal with you"
