,Author,Title
0,Weezer, “Africa”
1,Arctic Monkeys, “Four Out of Five”
2,Teyana Taylor, “Gonna Love Me”
3,The Beths, “Happy Unhappy”
4,Playboi Carti feat. Nicki Minaj, “Poke It Out”
5,Willie Nelson, “Bad Breath”
6,Iceage, “Thieves Like Us”
7,Nicki Minaj, “Barbie Dreams”
8,King Princess, “1950”
9,Troye Sivan, “Animal”
10,Yella Beezy featuring Lil Baby, “Up One” Remix
11,Childish Gambino, “This Is America”
12,BTS, “Fake Love”
13,Low Cut Connie, “Beverly”
14,Christine and the Queens, “Doesn’t Matter”
15,Rosalía, “Pienso En Tu Mirá (Cap. 3: Celos)”
16,Hop Along, “How Simple”
17,Robyn, “Ever Again”
18,Hayley Kiyoko, “Curious”
19,Lil Baby feat. Gunna, “Drip Too Hard”
20,Lucy Dacus, “Night Shift”
21,Pistol Annies, “Best Years of My Life”
22,Stephen Malkmus & the Jicks, “Middle America”
23,Tove Styrke, “Changed My Mind”
24,Carly Rae Jepsen, “Party for One”
25,Mitski, “A Pearl”
26,The Carters, “Ape Shit”
27,Christina Aguilera, “Unless It’s With You”
28,Karol G, “Mi Cama”
29,Kurt Vile, “Bassackwards”
30,The 1975, “Love It If We Made It”
31,J Balvin and Nicky Jam, “X”
32,Shawn Mendes, “Nervous”
33,Eric Church, “Desperate Man”
34,Ariana Grande, “Thank U
35,Kacey Musgraves, “High Horse”
36,Sheck Wes, “Mo Bamba”
37,Snail Mail, “Pristine”
38,Taylor Swift, “Delicate”
39,Nio García, Casper Mágico
40,Travis Scott, “Sicko Mode”
41,Janelle Monae, “Make Me Feel”
42,Paul McCartney, “Come on to Me”
43,Courtney Barnett, “Charity”
44,Lana Del Rey, “Mariners Apartment Complex”
45,Drake, “Nice For What”
46,Camila Cabello, “Never Be the Same”
47,Cardi B, “I Like It”
48,Lady Gaga and Bradley Cooper, “Shallow”
49,Drake, “In My Feelings”
0,Bruce Springsteen,Fire
1,Bruce Springsteen,American Land
2,Bruce Springsteen,Brothers Under the Bridge
3,Bruce Springsteen,County Fair
4,Bruce Springsteen,Long Walk Home
5,Bruce Springsteen,All That Heaven Will Allow
6,Bruce Springsteen,If I Was the Priest
7,Bruce Springsteen,The E Street Shuffle
8,Bruce Springsteen,Sad Eyes
9,Bruce Springsteen,Ramrod
10,Bruce Springsteen,Back in Your Arms
11,Bruce Springsteen,Blinded by the Light
12,Bruce Springsteen,Devils & Dust
13,Bruce Springsteen,Bobby Jean
14,Bruce Springsteen,Restless Nights
15,Bruce Springsteen,Fade Away
16,Bruce Springsteen,Pink Cadillac
17,Bruce Springsteen,Lonesome Day
18,Bruce Springsteen,Drive All Night
19,Bruce Springsteen,Night
20,Bruce Springsteen,Out in the Street
21,Bruce Springsteen,The Ties That Bind
22,Bruce Springsteen,My Hometown
23,Bruce Springsteen,Two Faces
24,Bruce Springsteen,Roulette
25,Bruce Springsteen,We Are Alive
26,Bruce Springsteen,Johnny Bye Bye
27,Bruce Springsteen,Rocky Ground
28,Bruce Springsteen,Gypsy Biker
29,Bruce Springsteen,Jack of All Trades
30,Bruce Springsteen,Better Days
31,Bruce Springsteen,Cadillac Ranch
32,Bruce Springsteen,Your Own Worst Enemy
33,Bruce Springsteen,Seeds
34,Bruce Springsteen,Glory Days
35,Bruce Springsteen,Walk Like a Man
36,Bruce Springsteen,American Skin (41 Shots)
37,Bruce Springsteen,She’s the One
38,Bruce Springsteen,Radio Nowhere
39,Bruce Springsteen,Point Blank
40,Bruce Springsteen,You’re Missing
41,Bruce Springsteen,Reason to Believe
42,Bruce Springsteen,Loose Ends
43,Bruce Springsteen,Girls in Their Summer Clothes
44,Bruce Springsteen,Lucky Town
45,Bruce Springsteen,Independence Day
46,Bruce Springsteen,Streets of Fire
47,Bruce Springsteen,Hungry Heart
48,Bruce Springsteen,I’m Goin’ Down
49,Bruce Springsteen,One Step Up
0,Aretha Franklin,Jump to It (1982)
1,Aretha Franklin,Try a Little Tenderness (1962)
2,Aretha Franklin,Rolling in the Deep (The Aretha Version) (2014)
3,Aretha Franklin,Spanish Harlem (1971)
4,Aretha Franklin,A Rose Is Still a Rose (1998)
5,Aretha Franklin,People Get Ready (1968)
6,Aretha Franklin,First Snow in Kokomo (1972)
7,Aretha Franklin,Who’s Zoomin’ Who? (1985)
8,Aretha Franklin,Soul Serenade (1967)
9,Aretha Franklin,See Saw (1968)
10,Aretha Franklin,Dr. Feelgood (Love Is a Serious Business) (1967)
11,Aretha Franklin,Jumpin’ Jack Flash (1986)
12,Aretha Franklin,Good to Me As I Am to You (1968)
13,Aretha Franklin,Day Dreaming (1972)
14,Aretha Franklin,Wholy Holy (1972)
15,Aretha Franklin,"Aretha Franklin and George Michael, I Knew You Were Waiting (For Me) (1987)"
16,Aretha Franklin,I Say a Little Prayer (1968)
17,Aretha Franklin,Freeway of Love (1985)
18,Aretha Franklin,Are You Sure (1961)
19,Aretha Franklin,Oh Me Oh My (I’m a Fool for You Baby) (1971)
20,Aretha Franklin,Until You Come Back to Me (That’s What I’m Gonna Do) (1974)
21,Aretha Franklin,A Deeper Love (1994)
22,Aretha Franklin,Skylark (1963)
23,Aretha Franklin,One Step Ahead (1965)
24,Aretha Franklin,Call Me (1970)
25,Aretha Franklin,The House That Jack Built (1968)
26,Aretha Franklin,Lean On Me (1971)
27,Aretha Franklin,Angel (1973)
28,Aretha Franklin,A Change Is Gonna Come (1967)
29,Aretha Franklin,Night Life (1967)
30,Aretha Franklin,Eleanor Rigby (1969)
31,Aretha Franklin,Something He Can Feel (1976)
32,Aretha Franklin,United Together (1980)
33,Aretha Franklin,"Young, Gifted and Black (1972)"
34,Aretha Franklin,"Eurythmics and Aretha Franklin, Sisters Are Doin’ It for Themselves (1985)"
35,Aretha Franklin,(Sweet Sweet Baby) Since You’ve Been Gone (1968)
36,Aretha Franklin,Spirit in the Dark (1970)
37,Aretha Franklin,"Mary, Don’t You Weep (1972)"
38,Aretha Franklin,Drown in My Own Tears (1967)
39,Aretha Franklin,The Weight (1969)
40,Aretha Franklin,Rock Steady (1971)
41,Aretha Franklin,Bridge Over Troubled Water (1971)
42,Aretha Franklin,Baby I Love You (1967)
43,Aretha Franklin,"Do Right Woman, Do Right Man (1967)"
44,Aretha Franklin,Amazing Grace (1972)
45,Aretha Franklin,Chain of Fools (1967)
46,Aretha Franklin,(You Make Me Feel Like) A Natural Woman (1967)
47,Aretha Franklin,Think (1968)
48,Aretha Franklin,I Never Loved a Man (The Way I Love You) (1967)
49,Aretha Franklin,Respect (1967)
0,The Foo Fighters, “Walking After You”
1,Mase feat. Total, “What You Want”
2,Semisonic, “Closing Time”
3,Iggy Pop and Françoise Hardy, “I’ll Be Seeing You”
4,Foxy Brown, “Hot Spot”
5,The Donnas, “Rock & Roll Machine”
6,Spoon, “Metal Detektor”
7,The Spice Girls, “Stop”
8,Korea Girl, “Under the Sun”
9,Willie Nelson, “Darkness on the Face of the Earth”
10,Next, “Too Close”
11,The Drive-By Truckers, “The Living Bubba”
12,Saint Etienne, “Lose That Girl”
13,True Love Always, “Spring Collection”
